ifi_id,account_holder_id,kyc_status,expiry_time,kyc_status_post_expiry,created_at,modified_at,created_by,updated_by,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
600309,ff17a607-b917-49db-8527-6a069405b48f,EXTERNAL,2024-10-16 13:25:24.343000,SHORT_FALL,2023-10-16 13:25:24.351000,2023-10-16 13:25:24.351000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/740,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/740,1697463119000,"""{\""pan\"":\""YFYAV0311K\"",\""valid\"":\""test\"",\""docUrl\"":\""test\"",\""docType\"":\""KYC-TOKEN\"",\""kycType\"":\""KYC-TOKEN\"",\""authType\"":\""PAN\"",\""docValue\"":\""test\"",\""docIssuer\"":\""TruValidate\"",\""validationDate\"":\""2023-09-14\"",\""validationSource\"":\""TruValidate\""}""",1697462724368,
140793,c242dbe0-6596-44b8-82b2-c8b99e798bfa,AADHAAR_OTP,2024-04-12 13:38:47.720000,,2023-04-12 13:38:47.728000,2023-04-12 13:38:47.728000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686911262000,"""{\""aadhaar\"": \""kvzZB5129Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686910435578,
600309,d9b07678-cbfe-4b8e-8a05-406522a722af,External,2022-07-13 05:46:30,,2023-09-27 07:23:07.032000,2023-09-27 07:23:07.032000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/650,1695799900000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799387063,
600309,0ec891d6-0b87-4693-bca2-350196f53c3f,External,2022-07-13 05:46:30,,2023-09-27 07:25:54.332000,2023-09-27 07:25:54.332000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695799900000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799554438,
600309,2d0d3a5c-56ac-4618-bd62-2bace2a46cf7,External,2022-07-13 05:46:30,,2023-09-27 07:26:28.650000,2023-09-27 07:26:28.650000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695799900000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799588678,
600309,13c854bd-979b-421f-8422-577a214997d6,External,2022-07-13 05:46:30,,2023-09-27 07:27:31.760000,2023-09-27 07:27:31.760000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695800246000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799651814,
140793,0b788b2c-0f2e-4ddb-8449-6897748e5977,AADHAAR_OTP,2024-01-18 07:41:55.344000,,2023-01-18 07:41:55.347000,2023-01-18 07:41:55.347000,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,1681510941000,{},,
140793,33aaf81a-a85a-4594-8c80-63b0b04336c0,FULL_KYC,2123-01-20 10:52:28,,2023-01-20 10:52:29.024000,2023-01-20 10:52:29.024000,NJan4QllZNtRiTouj93bSw==@authProfile.rbl-admin.in/523,NJan4QllZNtRiTouj93bSw==@authProfile.rbl-admin.in/523,1681510941000,"{""kycType"":""EXTERNAL"",""authType"":""EXTERNAL""}",,
140793,2a720b44-4200-4adb-a552-70b7c01b617f,MINIMAL,2024-03-13 13:24:13.243000,,2023-03-13 13:24:13.245000,2023-03-13 13:24:13.245000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,bfab6879-45a8-4d30-ae53-12a9356e1a57,MINIMAL,2024-03-13 13:24:13.561000,,2023-03-13 13:24:13.563000,2023-03-13 13:24:13.563000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,9030b79b-35d4-4571-90a5-ccc7fd9c5f12,MINIMAL,2024-03-21 10:09:57.626000,,2023-03-21 10:09:57.693000,2023-03-21 10:09:57.693000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1681510941000,"{""aadhaar"":""kkcZB9229Z"",""kycType"":""V_KYC"",""authType"":""Video""}",,
140793,0d6497e4-12d9-4841-ad68-e28d95174153,AADHAAR_OTP,2024-03-24 09:15:55.174000,,2023-03-24 09:15:55.183000,2023-03-24 09:15:55.183000,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,1681510941000,{},,
140793,5b990f0a-d973-4dd7-8805-6bd13547a8a8,MINIMAL,2024-04-10 05:16:38.532000,,2023-04-10 05:16:38.538000,2023-04-10 05:16:38.538000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686908278000,"""{\""aadhaar\"": \""kkcZB9229Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686907580569,
140793,d50243a3-cfe9-4d61-a6c6-fdbccef71671,MINIMAL,2024-04-10 06:07:23.634000,,2023-04-10 06:07:23.639000,2023-04-10 06:07:23.639000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686911551000,"""{\""aadhaar\"": \""kkcZB9229Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686910909276,
140793,6c308ca9-0d9a-4ee6-b174-58d7a70168a6,MINIMAL,2024-04-10 06:07:37.497000,,2023-04-10 06:07:37.565000,2023-04-10 06:07:37.565000,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,09PPx5DQiu6B5IrcvGPJlA==@authProfile.0-admin.India/1,1686908777000,"""{\""aadhaar\"": \""kkcZB9229Z\"", \""kycType\"": \""V_KYC\"", \""authType\"": \""Video\""}""",1686908056933,
140793,500eccf7-4148-42e7-a62c-77321f5be8f8,AADHAAR_OTP,2024-04-22 12:48:33.971000,,2023-04-22 12:48:33.975000,2023-04-22 12:48:33.975000,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,35hWwq0EJyHpQpR8A50C-g==@authProfile.rbl-admin.in/23,1686908278000,"""{}""",1686907355672,
600309,47fb563d-fb88-4d6a-a8d4-93780ee5e66a,External,2022-07-13 05:46:30,,2023-09-27 07:23:22.128000,2023-09-27 07:23:22.128000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695799900000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799402160,
600309,9b753514-0518-44b9-b041-921f6532fa21,External,2022-07-13 05:46:30,,2023-09-27 07:32:51.542000,2023-09-27 07:32:51.542000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/652,1695800461000,"""{\""kycType\"":\""EXTERNAL\"",\""authType\"":\""EXTERNAL\""}""",1695799971656,
600309,34948dce-ca1f-40a5-9b08-342366510c95,EXTERNAL,2024-09-29 04:57:27.184000,,2023-09-29 04:57:27.257000,2023-09-29 04:57:27.257000,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/660,i6t1bu6oGb0kyToL0XnPwA==@authProfile.600309-admin.India/660,1695963837000,"""{\""valid\"":\""true\"",\""docUrl\"":\""https://console.trustev.com/\"",\""docType\"":\""KYC-TOKEN\"",\""docValue\"":\""100694\"",\""docIssuer\"":\""TruValidate\"",\""validationDate\"":\""2023-08-17\"",\""validationSource\"":\""TruValidate\""}""",1695963447288,
